Start Time,Average of Latency(ms)
1717638227365,623.3333333
1717638227366,628
1717638227368,628
1717638227369,613
1717638227371,618.5
1717638227372,625.3333333
1717638227373,627.6666667
1717638227374,613.1111111
1717638227963,38.5
1717638227973,54.5
1717638227982,58.4
1717638227992,50.6
1717638227993,50
1717638227998,47
1717638227999,53.75
1717638228000,58.5
1717638228001,59
1717638228002,57
1717638228006,56
1717638228025,34
1717638228030,37
1717638228036,36
1717638228041,39
1717638228043,47.66666667
1717638228045,54
1717638228047,52
1717638228058,42
1717638228059,41.33333333
1717638228060,46
1717638228061,43.66666667
1717638228062,44
1717638228067,33
1717638228072,28
1717638228077,30
1717638228081,35
1717638228082,41
1717638228099,66.33333333
1717638228100,65.5
1717638228101,58.25
1717638228106,59.4
1717638228107,58.5
1717638228121,36.33333333
1717638228122,32
1717638228126,40
1717638228150,37
1717638228152,35
1717638228153,34
1717638228154,33
1717638228155,53
1717638228164,41.2
1717638228165,40.44444444
1717638228166,41
1717638228167,41
1717638228187,41
1717638228205,47.81818182
1717638228206,50.5
1717638228207,47.25
1717638228208,48
1717638228228,36.25
1717638228245,26
1717638228248,45
1717638228250,52
1717638228256,51.66666667
1717638228257,53.35714286
1717638228258,54
1717638228264,40.66666667
1717638228265,37
1717638228271,31
1717638228290,65
1717638228291,71.25
1717638228302,61
1717638228303,59.5
1717638228310,55
1717638228311,62
1717638228312,49.33333333
1717638228313,54
1717638228315,53
1717638228355,42.42857143
1717638228356,37.5
1717638228364,40
1717638228365,39.8
1717638228366,39
1717638228367,37.5
1717638228368,37.5
1717638228370,45
1717638228373,50
1717638228381,37
1717638228382,36.5
1717638228403,24
1717638228404,37.44444444
1717638228405,34.75
1717638228406,37.66666667
1717638228407,37.5
1717638228418,28
1717638228419,27
1717638228423,29.8
1717638228426,27
1717638228428,52
1717638228437,72
1717638228438,72
1717638228439,72.5
1717638228441,71.6
1717638228444,71
1717638228445,70
1717638228446,69
1717638228453,61.83333333
1717638228480,35
1717638228508,26
1717638228511,25.5
1717638228512,26.5
1717638228513,25.66666667
1717638228515,27.8125
1717638228516,28
1717638228535,28.4
1717638228538,28.66666667
